Company Name|Last Price|% Chg|52 wkHigh|52 wkLow|Market Cap(Rs. cr)
Reliance|2372.25|0.32|2750.00|1830.00|1604608.74
TCS|3670.25|0.20|3990.00|2701.00|1357644.33
HDFC Bank|1439.30|-0.33|1724.30|1342.00|797609.94
Infosys|1863.65|0.37|1913.00|1226.10|783779.99
HUL|2298.50|-0.06|2859.10|2104.25|540053.55
ICICI Bank|727.45|-0.49|859.70|512.10|505078.34
HDFC|2533.90|-1.41|3021.10|2354.10|458892.28
Bajaj Finance|6851.40|-0.96|8020.20|4361.60|413546.63
SBI|456.85|-1.10|542.20|264.60|407720.88
Wipro|698.50|0.55|739.80|382.00|382867.63
Bharti Airtel|677.05|-0.21|781.90|490.15|378477.67
Kotak Mahindra|1748.30|-1.57|2252.45|1627.25|346790.73
HCL Tech|1265.10|3.08|1377.00|890.00|343305.77
Asian Paints|3288.15|0.65|3504.05|2261.45|315398.62
Avenue Supermar|4627.20|-0.46|5899.90|2610.80|299738.31
ITC|218.00|0.32|265.30|199.10|268633.51
Larsen|1859.50|-0.94|1982.95|1267.00|261229.86
Bajaj Finserv|15919.90|-1.49|19319.95|8275.00|253345.22
Maruti Suzuki|7316.65|-0.92|8400.00|6301.20|221021.41
Adani Green Ene|1385.85|-2.59|1477.65|860.20|216748.92
UltraTechCement|7224.05|-1.57|8267.00|5055.45|208533.03
Titan Company|2316.40|-0.47|2678.10|1396.25|205646.79
Axis Bank|667.45|-1.59|866.60|595.00|204747.72
Adani Trans|1769.00|-2.67|2030.00|400.00|194556.40
Adani Total Gas|1719.55|-1.64|1987.00|340.80|189117.84
Sun Pharma|785.30|-0.93|850.00|550.70|188419.78
Adani Enterpris|1696.45|1.21|1788.00|440.00|186577.28
Nestle|19200.00|-0.04|20599.95|15900.00|185118.17
ONGC|138.40|-1.49|172.80|87.90|174111.06
Tech Mahindra|1723.20|2.34|1735.55|915.05|167252.06
JSW Steel|650.80|0.18|776.50|356.00|157312.71
Tata Motors|467.55|-1.02|536.50|171.50|155252.42
Adani Ports|722.40|-1.18|901.00|464.45|147496.15
Power Grid Corp|203.25|-2.47|216.35|136.88|141776.08
Tata Steel|1115.55|-1.05|1534.60|596.30|136284.92
Hind Zinc|313.65|-0.46|407.90|230.80|132527.13
HDFC Life|636.90|-0.59|775.65|627.00|128958.94
Vedanta|345.70|0.48|385.75|154.90|128503.49
L&T Infotech|7170.00|1.93|7562.00|3525.95|125634.74
Pidilite Ind|2410.15|-0.45|2531.90|1662.95|122473.86
Divis Labs|4447.65|-0.71|5425.00|3154.50|118071.13
NTPC|121.25|-2.69|152.10|88.20|117572.08
SBI Life Insura|1148.20|1.97|1273.40|838.20|114852.53
Grasim|1610.70|-2.93|1893.15|891.15|106030.21
IOC|110.25|-1.69|141.75|86.70|103791.10
Zomato|131.45|-1.17|169.10|76.00|103469.42
Hindalco|458.10|-0.64|551.65|221.00|102942.85
M&M|812.50|-1.71|978.90|704.30|101009.39
Dabur India|564.00|-0.99|658.75|483.00|99707.11
Godrej Consumer|962.20|-0.24|1138.50|644.00|98392.75
FSN E-Co Nykaa|2044.85|-3.57|2574.00|1125.00|96706.52
Shree Cements|26222.85|-0.41|32050.00|22600.00|94614.00
DLF|379.70|-0.97|449.80|228.50|93987.59
Bajaj Auto|3158.00|-0.50|4361.20|3028.35|91382.10
Coal India|145.90|-1.22|203.85|123.45|89914.21
One 97 Paytm|1369.50|1.53|2150.00|1271.25|88781.08
SBI Card|908.15|0.16|1164.65|830.00|85646.59
Britannia|3540.00|-0.39|4152.05|3317.90|85267.38
Havells India|1361.30|-0.84|1503.70|891.00|85258.64
Siemens|2375.40|-2.10|2577.45|1517.30|84592.81
ICICI Prudentia|563.90|0.19|724.50|411.00|81048.51
BPCL|372.10|-1.43|503.00|357.55|80717.89
Dr Reddys Labs|4621.00|-1.54|5613.65|4135.90|76901.25
Mindtree|4615.05|0.50|5059.15|1539.85|76058.48
Interglobe Avi|1959.00|-0.56|2379.00|1502.90|75458.90
Cipla|907.70|-0.10|1005.00|738.25|73232.35
Ambuja Cements|368.25|-0.43|442.95|241.80|73121.39
Berger Paints|741.20|-1.12|872.00|675.00|71992.39
Apollo Hospital|4844.45|-0.68|5930.70|2352.00|69655.76
Info Edge|5385.10|0.02|7462.95|4027.00|69351.54
Tata Power|216.85|-0.53|269.70|74.50|69290.94
SRF|2317.85|-0.14|2544.00|1026.63|68705.95
Motherson Sumi|214.70|0.14|269.00|143.35|67800.85
INDUS TOWERS|249.60|-1.46|332.60|194.25|67265.63
IRCTC|836.95|-0.52|1278.60|280.61|66956.00
IndusInd Bank|860.70|-1.21|1241.85|788.60|66665.40
Eicher Motors|2437.95|-1.76|3035.50|2303.75|66658.44
TATA Cons. Prod|719.45|-0.99|889.00|554.55|66301.04
ICICI Lombard|1342.95|-0.73|1674.00|1295.00|65913.50
